"filename", "language", "Java", "comment", "blank", "total"
"/Users/nathanielkemmenash/Desktop/VS Code Projects/Javaish/src/javaish/Argument.java", "Java", 17, 0, 5, 22
"/Users/nathanielkemmenash/Desktop/VS Code Projects/Javaish/src/javaish/Element.java", "Java", 277, 0, 99, 376
"/Users/nathanielkemmenash/Desktop/VS Code Projects/Javaish/src/javaish/Error.java", "Java", 67, 0, 19, 86
"/Users/nathanielkemmenash/Desktop/VS Code Projects/Javaish/src/javaish/Expression.java", "Java", 365, 16, 63, 444
"/Users/nathanielkemmenash/Desktop/VS Code Projects/Javaish/src/javaish/Identifiers.java", "Java", 12, 0, 10, 22
"/Users/nathanielkemmenash/Desktop/VS Code Projects/Javaish/src/javaish/Interpreter.java", "Java", 907, 18, 110, 1035
"/Users/nathanielkemmenash/Desktop/VS Code Projects/Javaish/src/javaish/JavaishVal.java", "Java", 145, 0, 24, 169
"/Users/nathanielkemmenash/Desktop/VS Code Projects/Javaish/src/javaish/Parser.java", "Java", 855, 15, 125, 995
"/Users/nathanielkemmenash/Desktop/VS Code Projects/Javaish/src/javaish/Runner.java", "Java", 172, 5, 35, 212
"/Users/nathanielkemmenash/Desktop/VS Code Projects/Javaish/src/javaish/Statements.java", "Java", 304, 0, 84, 388
"/Users/nathanielkemmenash/Desktop/VS Code Projects/Javaish/src/javaish/Testor.java", "Java", 3, 0, 4, 7
"/Users/nathanielkemmenash/Desktop/VS Code Projects/Javaish/src/javaish/Variables.java", "Java", 445, 3, 45, 493
"Total", "-", 3569, 57, 623, 4249
